组件名称,数据类型,输入位宽,输出位宽,处理位宽,内存位宽,说明
解码配置.config2,3-7-3-3配置,0,128,128,0,16字节解码槽位
解码配置.config3,4-9-3配置,0,128,128,0,16字节解码槽位
解码配置.config4,4-4-4-4配置,0,128,128,0,16字节解码槽位
解码配置.config5,3-3-10配置,0,128,128,0,16字节解码槽位
宏操作.sub_rr,寄存器减法,0,24,24,0,3字节x86指令
宏操作.xor_rr,寄存器异或,0,24,24,0,3字节x86指令
宏操作.lea_sib,地址计算,0,32,32,0,4字节x86指令
宏操作.imul_rr,寄存器乘法,0,32,32,0,4字节x86指令
宏操作.ror_ri,立即数右移,0,32,32,0,4字节x86指令
宏操作.add_ri,立即数加法,0,56-72,56-72,0,7-9字节x86指令
宏操作.xor_ri,立即数异或,0,56-72,56-72,0,7-9字节x86指令
宏操作.mov_rr,寄存器传送,0,24,0,0,3字节x86指令(0延迟)
宏操作.mul_r,无符号乘法,0,24,32,0,3字节x86指令
宏操作.imul_r,有符号乘法,0,24,32,0,3字节x86指令
宏操作.mov_ri,立即数传送,0,80,32,0,10字节x86指令
微操作.P015,通用端口,0,0,0,0,可在P0/P1/P5执行
微操作.P01,双端口,0,0,0,0,可在P0/P1执行
微操作.P05,双端口,0,0,0,0,可在P0/P5执行
微操作.P1,乘法端口,0,0,0,0,仅在P1执行
微操作.P5,专用端口,0,0,0,0,仅在P5执行
性能指标.IPC,指令每周期,0,64,64,0,双精度浮点数
性能指标.cpuLatency,CPU延迟,0,32,32,0,模拟执行周期数
性能指标.asicLatency,ASIC延迟,0,32,32,0,硬件最优周期数
性能指标.codeSize,代码大小,0,32,32,0,机器码字节数
性能指标.macroOps,宏操作数,0,32,32,0,CPU微操作总数
性能指标.mulCount,乘法计数,0,32,32,0,乘法指令数量
性能指标.decodeCycles,解码周期,0,32,32,0,解码器周期数
倒数缓存.entry,缓存条目,32,64,64,64,单个倒数值
倒数缓存.total,完整缓存,1440,2880,2880,2880,45个倒数值(典型)
系统总计.单程序,单个程序生成,480,29000,995000,29000,包含所有中间状态
系统总计.8程序,完整系统,480,233600,7960000,233600,8个程序并行生成
优化版本.SIMD_Blake2,SIMD优化,480,512,512,512,256位向量化
优化版本.Compressed_Ports,端口压缩,1020,320,320,320,位压缩存储
优化版本.Packed_Registers,寄存器打包,832,256,256,256,位域优化
硬件实现.FPGA_LUT,FPGA逻辑,0,0,0,68000,8500个LUT×8位
硬件实现.FPGA_FF,FPGA触发器,0,0,0,16800,2100个FF×8位
硬件实现.FPGA_BRAM,FPGA内存,0,0,0,286720,35KB×8位
硬件实现.FPGA_DSP,FPGA数字信号,0,0,0,512,16个DSP×32位
硬件实现.ASIC_Area,ASIC面积,0,0,0,12800000,1.6mm²@28nm 
